Process number,finish time, turnaround time,normalized turnaround time
Process 0,137,136,13.60
Process 1,8,3,1.00
Process 2,11,4,1.33
Process 3,298,290,15.26
Process 4,147,137,13.70
Process 5,150,138,17.25
Process 6,241,222,15.86
Process 7,300,280,16.47
Process 8,248,228,19.00
Process 9,44,19,6.33
Process 10,170,140,14.00
Process 11,252,222,15.86
Process 12,56,24,12.00
Process 13,305,273,13.65
Process 14,66,32,6.40
Process 15,308,270,15.00
Process 16,312,273,14.37
Process 17,81,37,7.40
Process 18,313,269,16.81
Process 19,273,222,20.18
Process 20,277,226,16.14
Process 21,207,155,22.14
Process 22,279,225,18.75
Process 23,107,51,51.00
Process 24,315,257,15.12
Process 25,288,223,15.93
Process 26,120,55,18.33
Process 27,289,200,18.18
Process 28,317,226,13.29
Process 29,132,38,19.00

Average Latency:, 151.93

Average Turnaround:, 162.50

Average Normalized Turnaround:, 15.45
